Run Date,Action,Symbol,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.04,,,,-60.04,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.05,,,,-60.05,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.06,,,,-60.06,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.07,,,,-60.07,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.08,,,,-60.08,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.08,,,,-60.08,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.08,,,,-60.08,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.09,,,,-60.09,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.11,,,,-60.11,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.13,,,,-60.13,3/13/2024
,,,,,,,,,
,Total shares acquired,,0,,,,,,
,Average share price,,60.03,,,,,,
,End of Day P&L,,8.21,,,,,,
,Total Cash Involved,,16689.53,,,,,,
,Total Shares Involved,,278,,,,,,
